"PicCount","Pics","ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# Rms","Area","Full Baths","Half Baths"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039551/0/120/90/4839c4913cbe1ac37251de3604e18ac4/16/5eab629878c5621b36c7999e57cc45cf/262039551.JPG","R2017924","S","111 12148 224 STREET","VMREC","$240,900","11/27/2015","47","2","2","1,141","1999","17",,,"$263.41","Apartment/Condo","AGER, PETR, RENN","1","6","Maple Ridge","2","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262048557/0/120/90/ac59b27d6744b3fa1a0822aa297229c9/16/1f564aa115e7fa41503cfb018d193ec5/262048557.JPG","R2026930","S","313 7431 BLUNDELL ROAD","VRI61","$242,000","1/20/2016","0","1","1","726","1984","32",,"1","$246.00","Apartment/Condo","PETR, RENR","1","6","Richmond","1","0"
"14","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262025911/0/120/90/fea50b53b2df6a5dcf89dfb7434e24b0/16/13b3195b354f0a1764be2c0a14be4f6c/262025911.JPG","R2004284","S","217 2891 E HASTINGS STREET","VVEHE","$242,000","9/23/2015","113","1","1","576","2004","12","Y","1","$237.22","Apartment/Condo","PETR, RENR","1","4","Vancouver East","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262049958/0/120/90/17ac7a168ace5de3e58df0d324ada80d/16/61dda9940312e502d9c324f0319d33a3/262049958.JPG","R2028331","S","109 2484 WILSON AVENUE","VPQCE","$242,800","1/26/2016","3","1","1","719","2008","8","N","1","$219.89","Apartment/Condo","PETR, RENR","1","5","Port Coquitlam","1","0"
"11","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262007347/0/120/90/bd5e3a05399cd102485566069e8d7d4e/16/c9dfb864ddff9e6bc01bd3557a80ae39/262007347.JPG","V1142411","S","102 5645 BARKER AVENUE","VBSCP","$243,000","9/4/2015","149","1","1","783","1977","39","Y",,"$300.09","Apartment/Condo","PETN, RENN","1","4","Burnaby South","1","0"
"17","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262042047/0/120/90/ee281c1d28ee54788d782dc23bbe564f/16/fda7497857c521649e42c966942952ec/262042047.JPG","R2020420","S","115 8651 ACKROYD ROAD","VRI60","$244,000","12/14/2015","32","1","1","712","1991","25","Y","1","$230.18","Apartment/Condo","PETN, RENN","1","4","Richmond","1","0"
"7","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262039058/0/120/90/57a799724aa9afda7c525028c61a66ba/16/e9b0d58e24efedf4f88291ef422df785/262039058.JPG","R2017431","S","203 2460 KELLY AVENUE","VPQCE","$245,000","11/24/2015","68","1","1","748","2015","1","N","1","$180.37","Apartment/Condo","NO","1","4","Port Coquitlam","1","0"
"8","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262050257/0/120/90/3acf84a28f3bb2200e69037ad90e14e9/16/e9f636b140f2f91c14991135819daf2e/262050257.JPG","R2028630","S","12128 SCHMIDT CRESCENT","VMRNW","$245,000","1/25/2016","4","3","2","1,120","1977","39",,"2","$267.22","Townhouse","PETY, RENN","1","6","Maple Ridge","1","1"
"19","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262046265/0/120/90/72f4e9daf212fae282203b3f8172d5e6/16/d1f63ec33e30f2340ea6d7cd2441c48f/262046265.JPG","R2024638","S","4 12070 207A STREET","VMRNW","$245,000","1/12/2016","5","2","2","1,132","1988","28",,"1","$200.00","Townhouse","PETR, RENN","1","6","Maple Ridge","2","0"
"3","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262044436/0/120/90/c8aca2e2c8e7d7f21d010c726d1f07f4/16/1adc3b8aa15c4db22460efc4fdb8d7e4/262044436.JPG","R2022809","S","402 4941 LOUGHEED HIGHWAY","VBNBP","$245,800","1/4/2016","21","2","1","775","1979","37","Y","1","$240.10","Apartment/Condo","PETN, RENY","1","6","Burnaby North","1","0"
"10","//cdnparap130.paragonrels.com/ParagonImages/Property/p13/BCRES/262041967/0/120/90/42c442af51989f1b6eb1ff323860f504/16/d317f1cf5136b0925ffcf2ca3232fe39/262041967.JPG","R2020340","S","19 7410 FLINT STREET","VPEPE","$247,000","12/11/2015","46","3","2","1,110","1998","18",,"2","$260.00","Apartment/Condo","PETY, RENY","1","7","Pemberton","2","0"
